*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=wifi_sensor
*Date=15:58:11
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
157;;;54.6513;-21.6455;0;Bottom;Via32
158;;;50.8135;-40.8953;-90;Bottom;TXT1
159;;;10.2014;-33.0754;-90;Top;-V
160;;;43.1673;-10.8575;0;Bottom;Copper Fill24
161;;;38.1413;-8.94551;0;Bottom;Via35
162;;;10.1473;-26.1991;0;Bottom;Copper Fill38
163;;;65.6844;-9.04138;0;Bottom;Copper Fill26
164;;;14.6304;-30.5806;0;Bottom;Copper Fill128
165;;;31.7373;-23.5575;0;Bottom;Copper Fill132
166;;;62.2714;-36.8854;0;Top;Pad
167;;;31.7913;-27.9954;0;Bottom;Via13
168;;;33.909;-35.8511;0;Bottom;Copper Fill67
169;;;35.5473;-22.7447;0;Bottom;Copper Fill29
170;;;45.0088;-40.7406;0;Bottom;Copper Fill56
171;;;16.6624;-5.23138;0;Bottom;Copper Fill115
172;;;39.5308;-41.6409;-90;Bottom;TXT1
173;;;10.8204;-25.5006;0;Bottom;Copper Fill124
174;;;12.6873;-28.7391;0;Bottom;Copper Fill133
175;;;25.4414;-29.2654;0;Bottom;Via55
176;;;44.4246;-40.8041;0;Bottom;Copper Fill65
177;;THT;7.7884;-46.0294;90;Bottom;J5
178;;;47.0314;-31.8054;0;Bottom;Via68
179;;;15.2273;-43.9791;0;Bottom;Copper Fill136
180;;;64.8113;-21.6455;0;Bottom;Via36
181;;;59.6773;-22.7447;0;Bottom;Copper Fill44
182;;;19.5796;-2.28972;-90;Bottom;TXT1
183;;;11.4714;-12.7554;0;Top;Pad12
184;;;59.1058;-15.3914;0;Bottom;Copper Fill117
185;;;43.1673;-1.71348;0;Bottom;Copper Fill20
186;;;34.3314;-19.1054;0;Bottom;Via83
187;;;57.7342;-15.3914;0;Bottom;Copper Fill31
188;;THT;48.4417;-43.4988;90;Bottom;J2
189;;;10.2014;-39.4254;0;Top;Pad7
190;;;46.3804;-40.7406;0;Bottom;Copper Fill138
191;;;15.2814;-36.8854;0;Bottom;Via26
192;;;23.1107;-41.4279;-90;Bottom;TXT1
193;;;40.6273;-1.71348;0;Bottom;Copper Fill99
194;;;47.0519;-21.6246;0;Bottom;Via31
195;;;36.8714;-19.1054;0;Bottom;Via82
196;;;34.3227;-41.1297;-90;Bottom;TXT1
197;;;28.1031;-41.428;-90;Bottom;TXT1
198;;;19.0914;-17.8354;0;Bottom;Via57
199;;;9.4488;-25.5006;0;Bottom;Copper Fill123
200;;;18.8468;-5.23138;0;Bottom;Copper Fill116
201;;;48.3014;-30.5354;0;Bottom;Via71
202;;;11.4714;-20.3754;0;Bottom;Via84
203;;;57.4277;-41.815;-90;Bottom;TXT1
204;;;46.0248;-25.7673;0;Bottom;Copper Fill5
205;;;62.2173;-45.6555;0;Bottom;Copper Fill142
206;;;52.1114;-31.8054;0;Bottom;Via70
207;;;5.12139;-43.2354;0;Bottom;Via28
208;;;41.6306;-20.5603;0;Bottom;Copper Fill7
209;;;53.3814;-30.5354;0;Bottom;Via69
210;;;29.2514;-7.67541;0;Bottom;Via61
211;;;52.0573;-32.5491;0;Bottom;Copper Fill62
212;;;64.7573;-8.11428;0;Bottom;Copper Fill105
213;1k;2512 [SMD];50.8415;-21.9055;90;Top;R3
214;;;47.5488;-7.72058;0;Bottom;Copper Fill109
215;;;61.0108;-25.2593;0;Bottom;Copper Fill81
216;;;25.4414;-31.8054;0;Bottom;Via47
217;;;36.8714;-15.2954;0;Bottom;Via76
218;;;9.0424;-47.0906;0;Bottom;Copper Fill51
219;1k;2512 [SMD];27.9814;-22.6554;90;Top;R5
220;;;14.0114;-26.7254;0;Bottom;Via25
221;;;6.39139;-25.4555;0;Bottom;Via30
222;;;35.5473;-22.7447;0;Bottom;Copper Fill113
223;;;63.8302;-9.04138;0;Bottom;Copper Fill106
224;;;43.1673;-7.04748;0;Bottom;Copper Fill23
225;;;39.4114;-14.0254;0;Bottom;Via53
226;;;7.66139;-36.8854;0;Bottom;Via22
227;;;9.0424;-47.0906;0;Bottom;Copper Fill131
228;;;40.6273;-1.71348;0;Bottom;Copper Fill18
229;;;57.1754;-20.3063;0;Bottom;Copper Fill98
